"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,1,9,641,900,1301,1242,1530,1272,"HA",51,"N384HA","JFK","HNL",640,4983,9,0,2013-01-09 09:00:00
"2",2013,6,15,1432,1935,1137,1607,2120,1127,"MQ",3535,"N504MQ","JFK","CMH",74,483,19,35,2013-06-15 19:00:00
"3",2013,1,10,1121,1635,1126,1239,1810,1109,"MQ",3695,"N517MQ","EWR","ORD",111,719,16,35,2013-01-10 16:00:00
"4",2013,9,20,1139,1845,1014,1457,2210,1007,"AA",177,"N338AA","JFK","SFO",354,2586,18,45,2013-09-20 18:00:00
"5",2013,7,22,845,1600,1005,1044,1815,989,"MQ",3075,"N665MQ","JFK","CVG",96,589,16,0,2013-07-22 16:00:00
"6",2013,4,10,1100,1900,960,1342,2211,931,"DL",2391,"N959DL","JFK","TPA",139,1005,19,0,2013-04-10 19:00:00
"7",2013,3,17,2321,810,911,135,1020,915,"DL",2119,"N927DA","LGA","MSP",167,1020,8,10,2013-03-17 08:00:00
"8",2013,7,22,2257,759,898,121,1026,895,"DL",2047,"N6716C","LGA","ATL",109,762,7,59,2013-07-22 07:00:00
"9",2013,12,5,756,1700,896,1058,2020,878,"AA",172,"N5DMAA","EWR","MIA",149,1085,17,0,2013-12-05 17:00:00
"10",2013,5,3,1133,2055,878,1250,2215,875,"MQ",3744,"N523MQ","EWR","ORD",112,719,20,55,2013-05-03 20:00:00
"11",2013,12,14,830,1845,825,1210,2154,856,"DL",2391,"N939DL","JFK","TPA",173,1005,18,45,2013-12-14 18:00:00
"12",2013,5,19,713,1700,853,1007,1955,852,"AA",257,"N3HEAA","JFK","LAS",323,2248,17,0,2013-05-19 17:00:00
"13",2013,1,1,848,1835,853,1001,1950,851,"MQ",3944,"N942MQ","JFK","BWI",41,184,18,35,2013-01-01 18:00:00
"14",2013,6,27,959,1900,899,1236,2226,850,"DL",2007,"N3762Y","JFK","PDX",313,2454,19,0,2013-06-27 19:00:00
"15",2013,12,19,734,1725,849,1046,2039,847,"DL",1223,"N375NC","EWR","SLC",290,1969,17,25,2013-12-19 17:00:00
"16",2013,12,17,705,1700,845,1026,2020,846,"AA",172,"N5EMAA","EWR","MIA",145,1085,17,0,2013-12-17 17:00:00
"17",2013,2,10,2243,830,853,100,1106,834,"F9",835,"N203FR","LGA","DEN",233,1620,8,30,2013-02-10 08:00:00
"18",2013,4,19,912,1940,812,1228,2247,821,"DL",1435,"N900DE","LGA","TPA",174,1010,19,40,2013-04-19 19:00:00
"19",2013,6,27,753,1830,803,937,2015,802,"AA",2019,"N571AA","LGA","STL",134,888,18,30,2013-06-27 18:00:00
"20",2013,11,3,603,1645,798,829,1913,796,"DL",2042,"N990AT","EWR","ATL",109,746,16,45,2013-11-03 16:00:00
"21",2013,3,18,1020,2100,800,1336,32,784,"DL",2363,"N624AG","JFK","LAX",335,2475,21,0,2013-03-18 21:00:00
"22",2013,4,19,606,1725,761,923,2020,783,"AA",1901,"N3DGAA","JFK","IAH",222,1417,17,25,2013-04-19 17:00:00
"23",2013,4,19,617,1700,797,858,1955,783,"AA",257,"N3GJAA","JFK","LAS",313,2248,17,0,2013-04-19 17:00:00
"24",2013,6,27,732,1825,787,932,2032,780,"DL",1715,"N335NB","LGA","MSY",160,1183,18,25,2013-06-27 18:00:00
"25",2013,2,24,1921,615,786,2135,842,773,"DL",575,"N348NW","EWR","ATL",111,746,6,15,2013-02-24 06:00:00
"26",2013,6,27,615,1705,790,853,2004,769,"DL",503,"N372DA","JFK","SAN",312,2446,17,5,2013-06-27 17:00:00
"27",2013,2,19,2324,1016,788,114,1227,767,"DL",2319,"N324US","LGA","MSP",136,1020,10,16,2013-02-19 10:00:00
"28",2013,2,16,757,1930,747,1013,2149,744,"9E",3798,"N8940E","JFK","CLT",85,541,19,30,2013-02-16 19:00:00
"29",2013,4,19,758,1925,753,1049,2225,744,"DL",1485,"N927DA","LGA","MCO",149,950,19,25,2013-04-19 19:00:00
"30",2013,10,14,2042,900,702,2255,1127,688,"DL",502,"N943DL","EWR","ATL",98,746,9,0,2013-10-14 09:00:00
"31",2013,12,1,657,1930,687,1010,2249,681,"DL",1091,"N342NW","JFK","SAT",211,1587,19,30,2013-12-01 19:00:00
"32",2013,7,7,2059,1030,629,106,1350,676,"VX",23,"N641VA","JFK","SFO",334,2586,10,30,2013-07-07 10:00:00
"33",2013,9,2,606,1830,696,754,2040,674,"DL",2131,"N913DE","LGA","DTW",79,502,18,30,2013-09-02 18:00:00
"34",2013,12,15,625,1925,660,933,2245,648,"AA",2437,"N635AA","LGA","MIA",165,1096,19,25,2013-12-15 19:00:00
"35",2013,7,21,1555,615,580,1955,910,645,"AA",1895,"N3EMAA","EWR","MIA",177,1085,6,15,2013-07-21 06:00:00
"36",2013,7,7,2123,1030,653,17,1345,632,"VX",187,"N521VA","EWR","SFO",325,2565,10,30,2013-07-07 10:00:00
